City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,mahibadhoo,3.7833,72.9667,27.88,75,2,2.96,MV,1680315015
356,lashio,22.9333,97.75,25.72,34,33,0.73,MM,1680315016
357,kokopo,-4.352,152.2633,27.64,75,89,2.57,PG,1680315016
358,vao,-22.6667,167.4833,25.78,79,17,5.45,NC,1680315016
359,yabrud,33.9674,36.6574,1.69,44,0,0.09,SY,1680315016
360,muroto,33.2833,134.15,17.3,60,6,3.9,JP,1680314852
361,srednekolymsk,67.45,153.6833,-14.28,82,100,4.9,RU,1680315017
362,chicama,-7.8447,-79.1469,25.3,75,89,2.05,PE,1680315017
363,aguilas,37.4063,-1.5829,20.26,54,81,2.33,ES,1680315018
364,bilma,18.6853,12.9164,22.31,10,10,6.89,NE,1680315018
365,asau,46.4333,26.4,3.51,93,73,2.44,RO,1680315018
366,guerrero negro,27.9769,-114.0611,14.7,67,28,6.57,MX,1680315018
367,san julian,21.0167,-102.1667,20.92,24,100,2.8,MX,1680315019
368,palestine,31.9216,35.2033,6.63,88,69,2.37,PS,1680315019
369,kasongo-lunda,-6.4667,16.8167,20.58,99,100,0.74,CD,1680315019
370,yangambi,0.8102,24.4336,18.87,99,100,1.1,CD,1680315020
371,port hedland,-20.3167,118.5667,31.03,58,6,2.06,AU,1680315020
372,vertientes,21.2594,-78.1464,23.34,73,0,5.28,CU,1680315020
373,dalbandin,28.8947,64.4101,20.36,36,97,2.76,PK,1680315020
374,vila,42.0304,-8.1588,7.49,88,99,2.02,PT,1680315021
375,olinda,-8.0089,-34.8553,25.85,73,20,1.54,BR,1680315021
376,businga,3.3333,20.8833,20.65,93,98,0.91,CD,1680315022
377,matara,5.9485,80.5353,25.94,85,18,1.51,LK,1680315022
378,pirogovo,56.7796,53.1495,4.25,80,100,3.1,RU,1680315023
379,praia da vitoria,38.7333,-27.0667,17.09,98,100,5.99,PT,1680315023
380,khromtau,50.2503,58.4347,4.91,48,100,6.32,KZ,1680315024
381,madras,13.0878,80.2785,27.99,89,20,5.14,IN,1680314774
382,rovaniemi,66.5,25.7167,-4.33,68,0,5.14,FI,1680315024
383,yar-sale,66.8333,70.8333,-1.32,92,100,8.04,RU,1680315024
384,sao filipe,14.8961,-24.4956,24.55,67,3,3.39,CV,1680314757
385,corinto,37.9407,22.9573,14.94,70,100,3.82,GR,1680315025
386,shibetsu,43.659,145.132,3.12,79,94,9.89,JP,1680314909
387,pavlovskiy posad,55.7847,38.6506,0.18,99,100,1.96,RU,1680315025
388,timra,62.487,17.3257,-5.18,68,11,5.14,SE,1680315026
389,san policarpo,12.1791,125.5072,28.3,74,100,3.87,PH,1680315026
390,miles city,46.4083,-105.8406,1.54,75,0,2.57,US,1680315027
391,manavalakurichi,8.1333,77.3,26.91,77,34,2.64,IN,1680315027
392,westport,41.1415,-73.3579,11.42,83,100,1.79,US,1680315027
393,meadow lake,34.8014,-106.5436,11.08,17,0,5.56,US,1680315027
394,hanover,52.3705,9.7332,10.14,94,75,3.09,DE,1680315028
395,aykhal,66.0,111.5,-19.9,90,90,3.06,RU,1680315028
396,turukhansk,65.8167,87.9833,-17.64,92,100,7.93,RU,1680315028
397,hobbs,32.7026,-103.136,15.59,9,20,4.12,US,1680315029
398,labytnangi,66.6572,66.4183,-0.39,95,100,5.39,RU,1680315029
399,carutapera,-1.195,-46.02,24.68,87,99,3.23,BR,1680315029
400,glodeni,47.7708,27.5144,5.32,91,100,2.89,MD,1680315030
